Дата;Тип;Сумма;Счёт;Категория;Контрагент;Заметка;Теги
2025-10-07T08:15:00;расход;120;Альфа банк;Транспорт;Метро;Поездка на метро;транспорт
2025-10-07T12:30:00;расход;650;Т-банк;Жильё;УК ДомСервис;Коммунальные услуги;коммуналка
2025-10-07T14:00:00;расход;950;Сбербанк;Здоровье;Аптека;Лекарства;здоровье
2025-10-07T19:45:00;расход;1800;Альфа банк;Развлечения;Кинотеатр;Фильм;досуг
2025-10-07T10:00:00;расход;890;Альфа банк;Связь;Мегафон;Интернет и связь;связь
2025-10-06T16:10:00;расход;3200;Т-банк;Одежда;Zara;Куртка;шопинг
2025-10-05T11:20:00;расход;2400;Сбербанк;Образование;Coursera;Курс;обучение
2025-10-05T18:50:00;расход;1300;Т-банк;Продукты;Пятёрочка;Покупки;еда
2025-10-06T13:10:00;расход;2100;Альфа банк;Рестораны;Вкусно и точка;Обед;ресторан
2025-10-04T09:30:00;расход;410;Альфа банк;Кафе;Starbucks;Кофе;кофе
2025-10-03T18:00:00;доход;1200;Альфа банк;Проценты;Банк;Проценты по вкладу;пассивный доход
2025-10-02T13:00:00;доход;10000;Т-банк;Инвестиции;Брокер;Дивиденды;инвестиции
2025-10-01T17:30:00;доход;5000;Сбербанк;Бонус;Компания;Премия;бонус
2025-10-07T09:45:00;доход;3000;Альфа банк;Подарок;Друг;Подарок на ДР;подарок
